format,Name,description,minting-too,series_number,series_total,attributes,collection,Hash
CHIP-0007,lulu-dey-kpako,She's is as enthusiastic as she is beautiful.,,50,420,"[{'trait_type': 'gender', 'value': 'Female'}, {'trait_type': 'hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: loving; weakness: makeup'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",9fbcd85cc6c2de186dc4d51198d0e74c5fa4ffdfdb4137b7d9fec9d36a56a8be
CHIP-0007,kiki-cala-flier,She flies first class and gets the best deals.,,51,420,"[{'trait_type': 'gender', 'value': 'Female'}, {'trait_type': 'hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: kittens'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",fe17d5892c623352e777d27e2dfd0da2b18cc92460623ac68eca77923f0100cf
CHIP-0007,purity-nft -investor,She is an angel investor looking for the next big thing.,,52,420,"[{'trait_type': 'gender', 'value': 'Female'}, {'trait_type': 'hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: clothes'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",0c62a9d465706f48d31d59dca4fccb838fc5591a8015c15ab841393ffddc5ee9
CHIP-0007,june-binary-monk,She has a twin from Tibet and they always play together .,,53,420,"[{'trait_type': 'gender', 'value': 'Female'}, {'trait_type': 'hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: money'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",f054a42c577cbdb57df4178522450073176067a030ba884d03b888d11a98ba73
CHIP-0007,aisha-flying-damsel,She is always a damsel in distress and loves to fly.,,54,420,"[{'trait_type': 'gender', 'value': 'Female'}, {'trait_type': 'hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: food'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",1f975b98f9a40390349a3f593402006bf2199ec451ee4ba5bb6aa227ebc9a239
CHIP-0007,bobo-crypto-lovely,She is a crypto guru you can trust all through.,,55,420,"[{'trait_type': 'gender', 'value': 'Female'}, {'trait_type': 'hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: water'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",60b9cefcd8e45cf8ef2595710ba4447b563ea600091aa40e883c048a07726774
CHIP-0007,nell-light -embrace,She is an empathy ready with a kind word or hug.,,56,420,"[{'trait_type': 'gender', 'value': 'Female'}, {'trait_type': 'hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: love'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",ec0d7a170a5c206b6295c24cb3628487f4d435def5062e7e0da143ff7e997610
CHIP-0007,rachel-mood-silent,Introvert  to the core a mysterious lady.,,57,420,"[{'trait_type': 'gender', 'value': 'Female'}, {'trait_type': 'hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: walls'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",978754b4f72d350877588e11bfbd7232007289bd4779ce4f8d82ed2472086483
CHIP-0007,nana-reflector-agent,She loves her chrome fashion style.,,58,420,"[{'trait_type': 'gender', 'value': 'Female'}, {'trait_type': 'hair: pink; eyes: blue; teeth: none; clothing: ankara; accessories:none; expression: smiling; strength: brave; weakness: shy'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",e4ea18a1674cf4e8b1000c7a6d91ec1bab223c708fcaba997f6a5fa4f986363e
CHIP-0007,bree-busy-gossip,Never whisper your secrets to her except you want the world to know.,,59,420,"[{'trait_type': 'gender', 'value': 'Female'}, {'trait_type': 'hair: blue; eyes:white; teeth: none; clothing: glitter; accessories:none; expression: frowm; strength:goodlistener; weakness:height'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",25a733cee6be4690711b1529be512776f163bebf0e990ec87bdf1588770086db
CHIP-0007,jude-shadow-fighter,A ninja warrior; the last samurai standing.,,60,420,"[{'trait_type': 'gender', 'value': 'Female'}, {'trait_type': 'hair: white; eyes:brown; teeth: none; clothing: ankara; accessories:chain; expression: smiling; strength:brave; weakness:water'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",1333fb332158c80be23f9c91cd9c6021429809d7c0a99903be0228c8d61ddd3f
,,,,,,,,1333fb332158c80be23f9c91cd9c6021429809d7c0a99903be0228c8d61ddd3f
